Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2019,2020,,"% Change 4th week January 2020, compared to:",
Sinhala Name,,Common Name,4th Week January ,3rd Week January ,4th Week January ,Last week ,Last Year
1,තෝරා,Seer,1766.67,1700,1544,-0.09176470588235294,-0.1260393848313494
2,පරව් (ලොකු),Trevally (L),1150,1144,­,­,­
3,ගල්මාළු (ලොකු),Rock Fish (L),­,712,960,0.34831460674157305,­
4,තලපත්,Sail fish,1117.5,1145,1128,-0.014847161572052401,0.009395973154362415
5,බලයා,Skipjack tuna,675,665,695,0.045112781954887216,0.02962962962962963
6,කෙළවල්ලා,Yellowfin tuna,997.78,1026.67,1066,0.0383083171807883,0.06837178536350702
7,සාලයා (මට්ට),Sardinella,200,306.67,284,-0.07392310953141819,0.42
8,මෝරා,Shark,775,960,960,0,0.23870967741935484
9,හුරුල්ලා,Herrings,410,613.33,666.67,0.08696786395578222,0.6260243902439023
10,කුම්බලා,Indian mackerel,536,640,620,-0.03125,0.15671641791044777
11,කාරල්ලා,Pony fish,180,320,180,-0.4375,0
12,කටුවල්ලා,Katuwalla,560,­,400,­,-0.2857142857142857
13,හාල්මැස්සා,Anchovies,­,400,400,0,­
14,ඉස්සා (M),Prawns (M),1105,1270.2,1060,-0.16548575027554718,-0.04072398190045249
15, කොප්පරා,Marlins,950,895,895,0,-0.05789473684210526
16,අලගොඩුවා,Frigate tuna,380,­,520,­,0.3684210526315789
17,ඇටවල්ලා,Kawakawa,330,510,580,0.13725490196078433,0.7575757575757576
18,ඇටිස්සා,Red Bream,770,720,860,0.19444444444444445,0.11688311688311688
19,බෝල්ලා,Big eye scade,382.5,560,560,0,0.46405228758169936
20,ගින්නටි පරව්,Ginnati paraw,650,820,780,-0.04878048780487805,0.2
21,හබරලි,Needle fish,546.67,606.67,­,­,­
22,හැඩැල්ලා,Indian Anchovy,946.67,­,­,­,­
23,ජීලාවා,Barracuda,811.67,715,682.5,-0.045454545454545456,-0.15914103022164175
24,ලින්නා,Indian Scade,337.5,434,503.33,0.15974654377880182,0.4913481481481481
25,ලේන පරව්,Rainbow runner,410,576.67,640,0.10982017444985875,0.5609756097560976
26,සුද්දා,Threadfin bream,640,773.33,600,-0.22413458678701206,-0.0625
27,සූඩයා,White Sardinella,­,­,­,­,­
28,දැල්ලා,Cuttle fish,826.67,920,960,0.043478260869565216,0.16128563997725823
29,කකුළුවා,Sea Crabs,820,1000,1300,0.3,0.5853658536585366
30,තිලාපියා,Thilapia (M),505,460,460,0,-0.0891089108910891
"* Selected Markets - Wellampitiya,  Battaramulla, Dematagoda,  Nugegoda,  Kirulapana,                     Maharagama  ",,,,,,,
