Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2021,2022,,"% Change 4th week of December 2022, compared to:",
Sinhala Name,,Common Name,Average of December 4th week,Average of December 3rd week,Average of December 4th week,Last week ,Last Year
1,තෝරා,Seer,2291,3600,3890,0.08055555555555556,0.6979484941073767
2,පරව් (ලොකු),Trevally (L),1620,2370,2510,0.05907172995780591,0.5493827160493827
3,ගල්මාළු (ලොකු),Rock Fish (L),1335,2240,2410,0.07589285714285714,0.8052434456928839
4,තලපත්,Sail fish,2036,2756,2882.5,0.04589985486211901,0.4157662082514735
5,බලයා,Skipjack tuna,976.66,1335,1475,0.10486891385767791,0.5102492167182029
6,කෙළවල්ලා,Yellowfin tuna,1511,2216,2620,0.18231046931407943,0.7339510258107214
7,සාලයා (මට්ට),Sardinella,323.33,626.6666666666666,670,0.06914893617021282,1.0721863111990846
8,මෝරා,Shark,1190,1940,1940,0,0.6302521008403361
9,හුරුල්ලා,Herrings,613.33,902,988.33,0.095709534368071,0.6114163663932956
10,කුම්බලා,Indian mackerel,713.75,988,1120,0.13360323886639677,0.5691768826619965
11,කාරල්ලා,Pony fish,,,,,
12,කටුවල්ලා,Katuwalla,,,,,
13,හාල්මැස්සා,Anchovies,520,700,720,0.02857142857142857,0.38461538461538464
14,ඉස්සා (M),Prawns (M),1271,1820,1895,0.04120879120879121,0.4909520062942565
15, කොප්පරා,Marlins,2095,3390,3610,0.06489675516224189,0.7231503579952268
16,අලගොඩුවා,Frigate tuna,,1080,1100,0.018518518518518517,
17,ඇටවල්ලා,Kawakawa,695,1090,1183.33,0.08562385321100911,
18,ඇටිස්සා,Red Bream,,,,,
19,බෝල්ලා,Big eye scade,635,1013.33,1060,0.0460560725528702,0.6692913385826772
20,ගින්නටි පරව්,Ginnati paraw,825,1410,,,
21,හබරලි,Needle fish,670,970,980,0.010309278350515464,0.4626865671641791
22,හැඩැල්ලා,Indian Anchovy,1191.67,1540,1820,0.18181818181818182,0.5272684551931323
23,ජීලාවා,Barracuda,1103.75,2260,2280,0.008849557522123894,1.0656851642129106
24,ලින්නා,Indian Scade,591.67,1067.5,1132.5,0.06088992974238876,0.9140737235283183
25,ලේන පරව්,Rainbow runner,690,1180,1200,0.01694915254237288,0.7391304347826086
26,සුද්දා,Threadfin bream,767,1170,1325,0.13247863247863248,0.727509778357236
27,සූඩයා,White Sardinella,240,400,433.33,0.08332499999999995,0.8055416666666666
28,දැල්ලා,Cuttle fish,1288.75,2393.33,2250,-0.05988727003798053,0.7458777885548011
29,කකුළුවා,Sea Crabs(L),1768.33,2506.66,2630,0.049204918098186494,0.48727895811302196
30,තිලාපියා,Thilapia (M),695,1080,1100,0.018518518518518517,0.5827338129496403
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,
**Retail Price collection done by over the phone,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,, ,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
