Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Variety,,,2024,2025,,% Change   compared to:3rd week of April 2025,, ,,,,,,,,,
Sinhala Name,,Common Name,3rd week of April,2nd week of April,3rd week of April,Last week ,Last Year,, , ,,,,, ,, 
1,තෝරා,Seer,3266.67,3295,3793.33,0.15123823975720788,0.1612222844670566,, , ,, ,,,,,
2,පරව් (ලොකු),Trevally (L),2220,2200,2510,0.1409090909090909,0.13063063063063063, , , , ,,,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2120,2160,2280,0.05555555555555555,0.07547169811320754,, ,,,,,,,,
4,තලපත්,Sail fish,2548,2696.67,2965,0.0995042033322579,0.16365777080062793,,, ,, ,,,,,
5,බලයා,Skipjack tuna,1280,1510,1980,0.31125827814569534,0.546875,,,, ,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2060,2425,2620,0.08041237113402062,0.27184466019417475,,, ,, ,, ,,,
7,සාලයා (මට්ට),Sardinella,655,702,715,0.018518518518518517,0.0916030534351145,,, ,,, ,,,,
8,මෝරා,Shark,1910,2050,2090,0.01951219512195122,0.09424083769633508,,,,,,,,,,
9,හුරුල්ලා,Herrings,936.67,1206.67,1310,0.08563236013160178,0.3985715353326145,, ,,,,,,,,
10,කුම්බලා,Indian mackerel,1093.33,1206.67,1303.33,0.08010475109184768,0.19207375632242782,,,,,,,,,,
11,කාරල්ලා,Pony fish,420,,480,,0.14285714285714285,,, ,,,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,, ,,,,,,,,
13,හාල්මැස්සා,Anchovies,910,520,590,0.1346153846153846, ,,,, ,,,,,,
14,ඉස්සා (M),Prawns (M),2235,2466.67,2487.5,0.00844458318299567,0.11297539149888143,,,,,,,,,,
15, කොප්පරා,Marlins,3160,3100,3260,0.05161290322580645,0.03164556962025317,,,,,,,,,,
16,අලගොඩුවා,Frigate tuna,1205,1120,1240,0.10714285714285714,0.029045643153526972,,, ,,,,,,,
17,ඇටවල්ලා,Kawakawa,1240,1203.33,1355,0.12604190039307595,0.09274193548387097,,,,,,,,,,
18,ඇටිස්සා,Red Bream(L),1860,1853.33,, , ,,,,, ,,,,,
19,බෝල්ලා,Big eye scade,1160,1166.67,1210,0.037139893886017405,0.04310344827586207,,,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,,,,, ,,, ,,, ,,,,
21,හබරලි,Needle fish,1320,1220,1210,-0.00819672131147541,-0.08333333333333333,,, ,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1360,,2100,, ,,                                                                                                                                                                                                                                                                                                                                     ,,,,,,,,
23,ජීලාවා,Barracuda(L),2030,1960,, , ,,,,,,,,,,
24,ලින්නා,Indian Scade,994,987.5,1106.67,0.1206784810126583,0.1133501006036218,,, ,,,,,,,
25,ලේන පරව්,Rainbow runner,1205,1020,1273.33,0.24836274509803916,0.05670539419087131,,,,,,,,,,
26,සුද්දා,Threadfin bream,1245,1180,1220,0.03389830508474576,-0.020080321285140562,,,,,,,,,,
27,සූඩයා,White Sardinella,473.33,490,495,0.01020408163265306,0.04578201254938419,,,,, ,,,,,
28,දැල්ලා,Cuttle fish,1813.33,2000,2120,0.06,0.16911979617609596,,,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2670,2840,, , ,,,,,,,,,,
30,තිලාපියා,Thilapia (M),1020,,1050,,0.029411764705882353,,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,
,,,,,,,, ,,,, ,,,,,
