Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2024,2025,,% Change   compared to:4thweek of June 2025,, ,,,, ,,
Sinhala Name,,Common Name,4th week of June,3rd week of June,4th week of June,Last week ,Last Year,, , ,,,,
1,තෝරා,Seer,3960,4860,4870,0.00205761316872428,0.2297979797979798,, , ,, ,,
2,පරව් (ලොකු),Trevally (L),2510,3070,2693.33,-0.12269381107491859,0.07303984063745017, , , , ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2153.33,2590,2470,-0.04633204633204633,0.14706059916501424,, ,, , ,,
4,තලපත්,Sail fish,3116.67,3370,3213.33,-0.046489614243323464,0.03101387057340041,,, ,, ,,
5,බලයා,Skipjack tuna,1660,2050,1950,-0.04878048780487805,0.1746987951807229,,,, ,,,
6,කෙළවල්ලා,Yellowfin tuna,2230,2776,2676,-0.03602305475504323,0.2,,, ,, ,, 
7,සාලයා (මට්ට),Sardinella,755,1016,933.33,-0.08136811023622043,0.2361986754966888,,, , ,, ,
8,මෝරා,Shark,2146.67,2110,1990,-0.05687203791469194,-0.07298280592732002,,,,,,,
9,හුරුල්ලා,Herrings,1213.33,1473.33,1690,0.14706141869099257,0.39286096939826765,, ,,,,,
10,කුම්බලා,Indian mackerel,1324,1620,1580,-0.024691358024691357,0.1933534743202417,,,,,,,
11,කාරල්ලා,Pony fish,400,,,,,,, ,,,,
12,කටුවල්ලා,Katuwalla,,,,,,, ,,,,,
13,හාල්මැස්සා,Anchovies,,986.67,,,,,,, ,,,
14,ඉස්සා (M),Prawns (M),1993.33,2040,2010,-0.014705882352941176,0.008362890238946924,, , ,,,,
15, කොප්පරා,Marlins,3685,3733.33,3766.67,0.008930365116397464,0.022162822252374512,,,,,,,
16,අලගොඩුවා,Frigate tuna,1110,1403.33,1260,-0.10213563452644776,0.13513513513513514,,, ,,,,
17,ඇටවල්ලා,Kawakawa,1206.67,1432.5,1293.33,-0.09715183246073303,0.07181748116717897,,, , ,,,
18,ඇටිස්සා,Red Bream(L),,1920,1820,-0.052083333333333336,,,,,, ,,
19,බෝල්ලා,Big eye scade,1305,1700,1540,-0.09411764705882353,0.18007662835249041,,,,, ,,
20,ගින්නටි පරව්,Ginnati paraw,1686.67,1853.33,1650,-0.10971062897595137,-0.021741063752838477,,, ,,, ,
21,හබරලි,Needle fish,,1625,1520,-0.06461538461538462,,,, ,,,,
22,හැඩැල්ලා,Indian Anchovy,1593.33,2700,2493.33,-0.07654444444444447,0.5648547381898289,,                                                                                                                                                                                                                                                                                                                                     ,,,,,
23,ජීලාවා,Barracuda(L),2380,2886.67,2890,0.0011535783445977292,0.21428571428571427,,,,,,,
24,ලින්නා,Indian Scade,987.5,1264,1020,-0.1930379746835443,0.03291139240506329,,, ,,,,
25,ලේන පරව්,Rainbow runner,1266.67,1380,1146.67,-0.16907971014492748,-0.09473659279844,,,,,,,
26,සුද්දා,Threadfin bream,1520,,1526.67,,0.00438815789473689,,,,,,,
27,සූඩයා,White Sardinella,530,730,696.67,-0.0456575342465754,0.31447169811320747,,,,, ,,
28,දැල්ලා,Cuttle fish,2140,2193.33,2100,-0.042551736400815166,-0.018691588785046728,,,,,,,
29,කකුළුවා,Sea Crabs(L),2790,3105,,,,,,,,,,
30,තිලාපියා,Thilapia (M),1100,1066.67,1020,-0.043752988271911715,-0.07272727272727272,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,,, ,,,, ,,
