Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2025,2026,,% Change   compared to:4th week of Feb. 2026,, , ,, , ,,,,
Sinhala Name,,Common Name,4th  week of Feb.,3rd  week of Feb.,4th  week of Feb.,Last week ,Last Year,, ,, , ,,,,
1,තෝරා,Seer (Ni-L),1270,2500,2430,-0.028,0.9133858267716536,, , , , , , , ,
2,පරව් (ලොකු),Trevally (L),878.5714285714286,1308.3333333333333,1335.7142857142858,0.020928116469517852,0.5203252032520326,  , , ,  , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),912.5,1508.3333333333333,1316.6666666666667,-0.1270718232044198,0.44292237442922383, , , , , , ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),783.3333333333334,1200,1021.4285714285714,-0.1488095238095238,0.30395136778115495,, , , , , ,, ,
5,තලපත්,Sail fish,1221.4285714285713,1864.2857142857142,1900,0.0191570881226054,0.5555555555555557,, , , , ,,,,
6,බලයා,Skipjack tuna,478.57142857142856,921.4285714285714,885.7142857142857,-0.03875968992248069,0.8507462686567164, , , , , , ,,,
7,කෙළවල්ලා,Yellowfin tuna,825,1250,1207.142857142857,-0.03428571428571431,0.4632034632034632, , , , , ,,,,
8,සාලයා (මට්ට),Sardinella,345.71,450,435.7142857142857,-0.03174603174603173,0.2603462026388758,,, , , , ,,,
9,මෝරා,Sharks,925,1300,1233.3333333333333,-0.05128205128205134,0.33333333333333326,,, , , , ,,,
10,හුරුල්ලා,Herrings,760,1110,966.6666666666666,-0.12912912912912916,0.27192982456140347,, ,, ,,, ,,
11,කුම්බලා,Indian Mackerel,666.6666666666666,1292.857142857143,1257.142857142857,-0.027624309392265244,0.8857142857142858,,,,,,,,,
12,කාරල්ලා,Pony fish,245.83333333333334,271.6666666666667,346.42857142857144,0.2751971954425942,0.4092009685230024,, , , ,, , ,,
13,කටුවල්ලා,Katuwalla,325,633.3333333333334,580,-0.08421052631578953,0.7846153846153846,, , , ,, ,,, 
14,හාල්මැස්සා,Anchovy,291.6666666666667,412.5,375,-0.09090909090909091,0.28571428571428564,,, , , , ,,,
15,ඉස්සා (M),"Prawns (M) 3""",1885.7142857142858,2360,2057.1428571428573,-0.12832929782082317,0.09090909090909098,, , , ,,,,,
16, කොප්පරා,Marlins,1258.3333333333333,2150,2228.5714285714284,0.03654485049833881,0.771050141911069,, , , ,, ,,,
17,අලගොඩුවා,Frigate tuna(L),466.6666666666667,770,875,0.13636363636363635,0.8749999999999999,,, ,,,,,,
18,ඇටවල්ලා,Kawakawa,578.5714285714286,1010.7142857142857,1054.1666666666667,0.04299175500588941,0.82201646090535,,, , , , , ,,
19,ඇටිස්සා,Red Bream(L),920,1541.6666666666667,1420,-0.07891891891891896,0.5434782608695652,,,,,,,,,
20,බෝල්ලා,Big eye scade,675,1083.3333333333333,1133.3333333333333,0.046153846153846156,0.6790123456790123,,, , , ,,,,
21,ගින්නටි පරව්,Ginnati Paraw,637.5,1350,1200,-0.1111111111111111,0.8823529411764706,, , ,, , ,,,
22,හබරලි,Needle fish,807.1428571428571,1128.5714285714287,1135.7142857142858,0.006329113924050603,0.40707964601769925, , , , , , ,,,
23,හැඩැල්ලා,Indian Anchovies,1635.7142857142858,1957.142857142857,1640,-0.16204379562043794,0.0026200873362445015,, , , , ,,,,
24,ජීලාවා,Barracuda(L),833.3333333333334,1414.2857142857142,1250,-0.11616161616161612,0.49999999999999994,, , , , , ,,,
25,ලින්නා,Indian Scad(L),633.5714285714286,1025,985.7142857142857,-0.03832752613240423,0.5558060879368658,, , ,,,,,,
26,ලින්නා,Indian Scad(S),512.5,878.5714285714286,785.7142857142857,-0.10569105691056914,0.5331010452961672,,,, ,,,, ,
27,ලේන පරව්,Rainbow Runner,495.8333333333333,921.4285714285714,914.2857142857143,-0.007751937984496088,0.8439375750300122,,, , , , ,,,
28,සුද්දා,Threadfin  Bream,730,1325,1150,-0.1320754716981132,0.5753424657534246,,, ,, ,,,, 
29,සූඩයා,White Sardinella,247.14285714285714,316.6666666666667,306.25,-0.032894736842105324,0.23916184971098267, ,, ,,, , ,,
30,දැල්ලා,Squids /Cuttle fish(Peeli),1628.5714285714287,2085.714285714286,1940,-0.06986301369863017,0.19122807017543852,,, , , , ,,,
31,කකුළුවා(L),Sea Crabs(L),1683.3333333333333,2820,2207.1428571428573,-0.21732522796352577,0.31117397454031137,, ,, ,,,,,
32,තිලාපියා,Tilapia (M),400,,500,,,,,,, ,,, ,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,, ,,,,,
,,,,,,,,, , ,,,,,,
,,,,,,,,, ,,,,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,
